Date 	Days from Start	# of active cases (New Rochelle)	Weekly active cases 	total # of cases (New Rochelle)	Weekly total cases	Deaths (Westchester)	Week	Total difference - weekly (how many new cases in a week)
3/3/2020	0	?		1	1	0	0	
3/20/2020	17	?		223	223	0	0	222
3/25/2020	22	?		234		0		
3/26/2020	23	?		264		0		
3/27/2020	24	?		284	260.6666667	10	3.333333333	61
3/30/2020	27	?		346		19		
3/31/2020	28	?		378		25		
4/2/2020	30	?		527		67		
4/3/2020	31	?		?		71		
4/4/2020	32	?		?	417	211	78.6	243
4/6/2020	34	?		659		?		
4/7/2020	35	?		755		283		
4/8/2020	36	?		870		315		
4/9/2020	37	?		1022	826.5	359	319	495
4/13/2020	41	?		1200		557		
4/14/2020	42	?		1287		596		
4/15/2020	43	?		1317		? 		
4/16/2020	44	?		1422		668		
4/17/2020	45	?		1511	1347.4	?	607	489
4/20/2020	48	?		1700		743		
4/21/2020	49	?		1798		809		
4/22/2020	50	?		1861		838		
4/23/2020	51	?		1915	1818.5	863	813.25	404
4/27/2020	55	?		2126		962		
4/28/2020	56	?		2149		983		
4/29/2020	57	?		2185		1006		
4/30/2020	58	?		2214		1031		
5/1/2020	59	?		2238	2182.4	1049	1006.2	323
5/4/2020	62	?		?		1101		
5/5/2020	63	450		2714		1116		
5/6/2020	64	358		2662		1167		
5/7/2020	65	290		2686		1184		
5/8/2020	66	278	344	2705	2691.75	1191	1151.8	467
5/11/2020	69	233		2745		1227		
5/12/2020	70	221		2760		1238		
5/13/2020	71	218		2785		1245		
5/14/2020	72	187		2788		1256		
5/15/2020	73	192	210.2	2814	2778.4	1269	1247	109
5/18/2020	76	177		2832		1295		
5/19/2020	77	175		2844		1298		
5/20/2020	78	161		2852		1305		
5/21/2020	79	127		2818		1313		
5/22/2020	80	136	155.2	2844	2838	1319	1306	30
5/26/2020	84	100		2868		1345		
5/27/2020	85	93		2885		1352		
5/28/2020	86	91		2896		1357		
5/29/2020	87	78	85.5	2870	2879.75	1359	1353.25	26
6/1/2020	90	82		2887		?		
6/2/2020	91	79		2888		?		
6/3/2020	92	72		2891		?		
6/4/2020	93	69		2895		?		
6/5/2020	94	62	72.8	2901	2892.4	?		31
6/8/2020	97	79		2934		?		
6/9/2020	98	?		?		?		
6/10/2020	99	?		?		?		
6/11/2020	100	102		2935		?		
6/12/2020	101	110	97	2939	2936	?		38
6/15/2020	104	102		2977		?		
6/16/2020	105	98		2986		?		
6/17/2020	106	87		2988		?		
6/18/2020	107	91	94.5	2992	2985.75	?		53
6/22/2020	111	72		3004		?		
6/23/2020	112	67		3007		?		
6/24/2020	113	59		3008		?		
6/25/2020	114	63		3015		?		
6/26/2020	115	62	64.6	3016	3010	?		24
6/29/2020	118	59		3038		?		
6/30/2020	119	55		3042		?		
7/1/2020	120	54		3046		?		
7/2/2020	121	54	55.5	3047	3043.25	?		31
7/6/2020	125	73		3076		?		
7/7/2020	126	74		3083		?		
7/8/2020	127	74		3086		?		
7/9/2020	128	81		3093		?		
7/10/2020	129	74	75.2	3093	3086.2	?		46
7/13/2020	132	60		3105		?		
7/14/2020	133	56		3107		?		
7/15/2020	134	56		3110		?		
7/16/2020	135	56		3110		?		
7/17/2020	169	58	57.2	3113	3109	?		20
7/20/2020	139	38		3118		?		
7/21/2020	140	37	37.5	3122	3120	?		9
